[Thread-2][epoch 87]	Val Loss: 53.83875083538404
[Thread-1][epoch 85]	Val Loss: 61.84712797019423
[Thread-4][epoch 91]	Val Loss: 81.21764224684057
[Thread-3][epoch 89]	Val Loss: 67.9070486799419
[Thread-0][epoch 87]	Val Loss: 70.11702767868591
[Thread-1][epoch 86]	Val Loss: 61.41019539629125
[Thread-2][epoch 88]	Val Loss: 54.52802331601657
[Thread-4][epoch 92]	Val Loss: 75.4815229630427
[Thread-3][epoch 90]	Val Loss: 65.43071025044615
[Thread-0][epoch 88]	Val Loss: 68.5524776946144
[Thread-2][epoch 89]	Val Loss: 55.78564227485276
[Thread-4][epoch 93]	Val Loss: 76.98862627938762
[Thread-3][epoch 91]	Val Loss: 67.0068604655551
[Thread-0][epoch 89]	Val Loss: 65.15999320529367
[Thread-1][epoch 87]	Val Loss: 63.045954458110906
[Thread-2][epoch 90]	Val Loss: 54.091703357747775
[Thread-3][epoch 92]	Val Loss: 66.15522725695693
[Thread-0][epoch 90]	Val Loss: 65.5196951259797
[Thread-4][epoch 94]	Val Loss: 72.6414839547404
[Thread-1][epoch 88]	Val Loss: 64.26470159513715
[Thread-3][epoch 93]	Val Loss: 64.10837328428073
[Thread-2][epoch 91]	Val Loss: 52.56019958535851
[Thread-0][epoch 91]	Val Loss: 63.962779665216885
[Thread-4][epoch 95]	Val Loss: 70.16332809440532
[Thread-1][epoch 89]	Val Loss: 65.31082463564599
[Thread-2][epoch 92]	Val Loss: 53.500719020893655
[Thread-3][epoch 94]	Val Loss: 65.6733240557527
[Thread-0][epoch 92]	Val Loss: 63.49685566192512
[Thread-4][epoch 96]	Val Loss: 71.30909131039206
[Thread-2][epoch 93]	Val Loss: 54.88722316777332
[Thread-1][epoch 90]	Val Loss: 65.97581398824168
[Thread-4][epoch 97]	Val Loss: 72.53422480341827
[Thread-3][epoch 95]	Val Loss: 64.62783240375713
[Thread-2][epoch 94]	Val Loss: 53.89244929718742
[Thread-0][epoch 93]	Val Loss: 62.34764530296039
[Thread-1][epoch 91]	Val Loss: 65.38116000792752
[Thread-4][epoch 98]	Val Loss: 73.62796644850867
[Thread-2][epoch 95]	Val Loss: 52.36802329863068
[Thread-3][epoch 96]	Val Loss: 61.47886229666977
[Thread-0][epoch 94]	Val Loss: 64.0667143186895
[Thread-4][epoch 99]	Val Loss: 74.16330096335342
[Thread-1][epoch 92]	Val Loss: 67.1133321085341
[Thread-0][epoch 95]	Val Loss: 62.22996589711004
[Thread-3][epoch 97]	Val Loss: 59.78040867629053
